"component","origin","license","copyright"
"Microsoft.AspNetCore.Authentication.JwtBearer","Microsoft.AspNetCore.Authentication.JwtBearer","['MIT']","['.NET Foundation Contributors', '.NET Foundation and Contributors', 'Alex MacCaw (info@eribium.org)', 'Andrew Arnott', 'AngleSharp', 'David Fowler', 'Google Inc.', 'Google LLC. http://angular.io/license', 'HTML5 Boilerplate', 'Inc.', 'James Newton-King', 'John Birrell (jb@freebsd.org)', 'John D. Polstra', 'Jorn Zaefferer', 'Julian Seward', 'Michael Daines', 'Microsoft Corporation', 'Milosz Krajewski', 'Nicolas Gallagher (nicolas@nicolasgallagher.com)', 'Nicolas Gallagher and Jonathan Neal', 'OpenJS Foundation and other contributors', 'Richard Morris', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'The Bootstrap Authors', 'The Regents of the University of California', 'The gRPC Authors', 'Twitter', 'West Wind Technologies', 'Yoshifumi Kawai', 'https://openjsf.org']"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","Microsoft.AspNetCore.Identity.EntityFrameworkCore","['MIT']","['.NET Foundation Contributors', '.NET Foundation and Contributors', 'Alex MacCaw (info@eribium.org)', 'Andrew Arnott', 'AngleSharp', 'David Fowler', 'Google Inc.', 'Google LLC. http://angular.io/license', 'HTML5 Boilerplate', 'Inc.', 'James Newton-King', 'John Birrell (jb@freebsd.org)', 'John D. Polstra', 'Jorn Zaefferer', 'Julian Seward', 'Michael Daines', 'Microsoft Corporation', 'Milosz Krajewski', 'Nicolas Gallagher (nicolas@nicolasgallagher.com)', 'Nicolas Gallagher and Jonathan Neal', 'OpenJS Foundation and other contributors', 'Richard Morris', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'The Bootstrap Authors', 'The Regents of the University of California', 'The gRPC Authors', 'Twitter', 'West Wind Technologies', 'Yoshifumi Kawai', 'https://openjsf.org']"
"Microsoft.AspNetCore.Identity.UI","Microsoft.AspNetCore.Identity.UI","['MIT']","['.NET Foundation', '.NET Foundation and Contributors', 'Alex MacCaw (info@eribium.org)', 'Diego Perini', 'Federico Zivolo and contributors', 'HTML5 Boilerplate', 'Inc.', 'JS Foundation and other contributors', 'Jorn Zaefferer', 'Microsoft Corporation', 'Nicolas Gallagher (nicolas@nicolasgallagher.com)', 'Nicolas Gallagher and Jonathan Neal', 'OpenJS Foundation and other contributors', 'The Bootstrap Authors', 'The Bootstrap Authors (https://github.com/twbs/bootstrap/graphs/contributors)', 'Twitter', 'Waybury. https://useiconic.com/open', 'https://openjsf.org']"
"Microsoft.Azure.Functions.Extensions","Microsoft.Azure.Functions.Extensions","['MIT']","['Inc.', 'Microsoft Corporation', 'Microsoft Corporation.', 'VeriSign']"
"Microsoft.Azure.Functions.Worker","Microsoft.Azure.Functions.Worker","['MIT']","[]"
"Microsoft.Azure.Functions.Worker.ApplicationInsights","Microsoft.Azure.Functions.Worker.ApplicationInsights","['MIT']","[]"
"Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore","Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore","['MIT']","['Microsoft Corporation']"
"Microsoft.Azure.Functions.Worker.Extensions.Kafka","Microsoft.Azure.Functions.Worker.Extensions.Kafka","['MIT']","[]"
"Microsoft.Azure.Functions.Worker.Extensions.ServiceBus","Microsoft.Azure.Functions.Worker.Extensions.ServiceBus","['MIT']","['Microsoft Corporation']"
"Microsoft.Azure.Functions.Worker.Extensions.Timer","Microsoft.Azure.Functions.Worker.Extensions.Timer","['MIT']","['Microsoft Corporation']"
"Microsoft.Azure.Functions.Worker.Sdk","Microsoft.Azure.Functions.Worker.Sdk","['MIT']","['Jb Evain', 'Mehdi Khalili', 'Microsoft Corporation', 'SharpZipLib Contributors']"
"Microsoft.EntityFrameworkCore.Cosmos","Microsoft.EntityFrameworkCore.Cosmos","['MIT']","[]"
"Microsoft.EntityFrameworkCore.Design","Microsoft.EntityFrameworkCore.Design","['MIT']","['Microsoft Corporation']"
"Microsoft.EntityFrameworkCore.Tools","Microsoft.EntityFrameworkCore.Tools","['MIT']","['.NET Foundation', 'Microsoft Corporation']"
"Microsoft.Extensions.Configuration.Abstractions","Microsoft.Extensions.Configuration.Abstractions","['MIT']","['.NET Foundation', '.NET Foundation Contributors', '.NET Foundation and Contributors', 'Advanced Micro Devices', 'Alexander Chermyanin', 'Alfred Klomp', 'Andrew Arnott', 'Andrew Gallant', 'Beihang) Disclaimers', 'Ca. & Digital Equipment Corporation', 'Daan Leijen', 'Dan Shechter', 'Daniel Lemire', 'ERCIM', 'FormatJS', 'Geoff Langdale', 'Google Inc.', 'Inc (http://www.novell.com)', 'Inc (http://www.xamarin.com)', 'Inc.', 'Intel Corporation', 'James Newton-King', 'Jb Evain (jbevain@gmail.com)', 'Jean-loup Gailly and Mark Adler', 'Keio', 'LLVM Project', 'Lucent Technologies', 'Mara Bos <m-ou.se@m-ou.se>', 'Mass', 'Matthieu Darbois', 'Maynard', 'Microsoft', 'Microsoft Corp', 'Microsoft Corporation', 'Milosz Krajewski', 'Nemanja Mijailovic', 'Nick Galbreath', 'Novell', 'Open Software Foundation', 'Palo Alto', 'Portions International Organization for Standardization', 'Rich Felker', 'Ryan Juckett http://www.ryanjuckett.com', 'Sean Eron Anderson', 'Six Labors', 'THL A29 Limited', 'The Chromium Authors', 'The Internet Society', 'The Internet Society ()', 'The Regents of the University of California', 'Unicode', 'Victor Zverovich', 'Wojciech Mula', 'Xamarin', 'YEAR W3C(r) (MIT', 'Yann Collet', 'Yoshifumi Kawai', 'a Tencent company', 'and Milo Yip', 'by Hewlett-Packard Company', 'by the Brotli Authors', 'the V8 project authors']"
"Microsoft.Extensions.DependencyInjection.Abstractions","Microsoft.Extensions.DependencyInjection.Abstractions","['MIT']","['.NET Foundation', '.NET Foundation Contributors', '.NET Foundation and Contributors', 'Advanced Micro Devices', 'Alexander Chermyanin', 'Alfred Klomp', 'Andrew Arnott', 'Andrew Gallant', 'Beihang) Disclaimers', 'Ca. & Digital Equipment Corporation', 'Daan Leijen', 'Dan Shechter', 'Daniel Lemire', 'ERCIM', 'FormatJS', 'Geoff Langdale', 'Google Inc.', 'Inc (http://www.novell.com)', 'Inc (http://www.xamarin.com)', 'Inc.', 'Intel Corporation', 'James Newton-King', 'Jb Evain (jbevain@gmail.com)', 'Jean-loup Gailly and Mark Adler', 'Keio', 'LLVM Project', 'Lucent Technologies', 'Mara Bos <m-ou.se@m-ou.se>', 'Mass', 'Matthieu Darbois', 'Maynard', 'Microsoft', 'Microsoft Corp', 'Microsoft Corporation', 'Milosz Krajewski', 'Nemanja Mijailovic', 'Nick Galbreath', 'Novell', 'Open Software Foundation', 'Palo Alto', 'Portions International Organization for Standardization', 'Rich Felker', 'Ryan Juckett http://www.ryanjuckett.com', 'Sean Eron Anderson', 'Six Labors', 'THL A29 Limited', 'The Chromium Authors', 'The Internet Society', 'The Internet Society ()', 'The Regents of the University of California', 'Unicode', 'Victor Zverovich', 'Wojciech Mula', 'Xamarin', 'YEAR W3C(r) (MIT', 'Yann Collet', 'Yoshifumi Kawai', 'a Tencent company', 'and Milo Yip', 'by Hewlett-Packard Company', 'by the Brotli Authors', 'the V8 project authors']"
"Microsoft.Extensions.Diagnostics.HealthChecks","Microsoft.Extensions.Diagnostics.HealthChecks","['MIT']","['.NET Foundation Contributors', '.NET Foundation and Contributors', 'Alex MacCaw (info@eribium.org)', 'Andrew Arnott', 'AngleSharp', 'David Fowler', 'Google Inc.', 'Google LLC. http://angular.io/license', 'HTML5 Boilerplate', 'Inc.', 'James Newton-King', 'John Birrell (jb@freebsd.org)', 'John D. Polstra', 'Jorn Zaefferer', 'Julian Seward', 'Michael Daines', 'Microsoft Corporation', 'Milosz Krajewski', 'Nicolas Gallagher (nicolas@nicolasgallagher.com)', 'Nicolas Gallagher and Jonathan Neal', 'OpenJS Foundation and other contributors', 'Richard Morris', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'The Bootstrap Authors', 'The Regents of the University of California', 'The gRPC Authors', 'Twitter', 'West Wind Technologies', 'Yoshifumi Kawai', 'https://openjsf.org']"
"Microsoft.Extensions.Hosting","Microsoft.Extensions.Hosting","['MIT']","['.NET Foundation', '.NET Foundation Contributors', '.NET Foundation and Contributors', 'Advanced Micro Devices', 'Alexander Chermyanin', 'Alfred Klomp', 'Andrew Arnott', 'Beihang) Disclaimers', 'Beihang). Disclaimers', 'Ca. & Digital Equipment Corporation', 'Daan Leijen', 'Dan Shechter', 'Daniel Lemire', 'ERCIM', 'Geoff Langdale', 'Google Inc.', 'Inc (http://www.novell.com)', 'Inc (http://www.xamarin.com)', 'Inc.', 'Intel Corporation', 'James Newton-King', 'Jb Evain (jbevain@gmail.com)', 'Jean-loup Gailly and Mark Adler', 'Keio', 'LLVM Project', 'Lucent Technologies', 'Mara Bos <m-ou.se@m-ou.se>', 'Mass', 'Matthieu Darbois', 'Maynard', 'Microsoft', 'Microsoft Corp', 'Microsoft Corporation', 'Microsoft. To', 'Milosz Krajewski', 'Nick Galbreath', 'Novell', 'Open Software Foundation', 'Palo Alto', 'Portions International Organization', 'Portions International Organization for Standardization', 'Rich Felker', 'Ryan Juckett http://www.ryanjuckett.com', 'Sean Eron Anderson', 'Six Labors', 'THL A29 Limited', 'The Chromium Authors', 'The Internet Society', 'The Internet Society ()', 'The Regents of the University of California', 'Unicode', 'Victor Zverovich', 'Wojciech Mula', 'Xamarin', 'YEAR W3C(r) (MIT', 'Yann Collet', 'Yoshifumi Kawai', 'a Tencent company', 'and Milo Yip', 'by Hewlett-Packard Company', 'by the Brotli Authors', 'csFastFloat authors', 'the V8 project authors']"
"Microsoft.Extensions.Options","Microsoft.Extensions.Options","['MIT']","['.NET Foundation', '.NET Foundation Contributors', '.NET Foundation and Contributors', 'Advanced Micro Devices', 'Alexander Chermyanin', 'Alfred Klomp', 'Andrew Arnott', 'Andrew Gallant', 'Beihang) Disclaimers', 'Ca. & Digital Equipment Corporation', 'Daan Leijen', 'Dan Shechter', 'Daniel Lemire', 'ERCIM', 'FormatJS', 'Geoff Langdale', 'Google Inc.', 'Inc (http://www.novell.com)', 'Inc (http://www.xamarin.com)', 'Inc.', 'Intel Corporation', 'James Newton-King', 'Jb Evain (jbevain@gmail.com)', 'Jean-loup Gailly and Mark Adler', 'Keio', 'LLVM Project', 'Lucent Technologies', 'Mara Bos <m-ou.se@m-ou.se>', 'Mass', 'Matthieu Darbois', 'Maynard', 'Microsoft', 'Microsoft Corp', 'Microsoft Corporation', 'Milosz Krajewski', 'Nemanja Mijailovic', 'Nick Galbreath', 'Novell', 'Open Software Foundation', 'Palo Alto', 'Portions International Organization for Standardization', 'Rich Felker', 'Ryan Juckett http://www.ryanjuckett.com', 'Sean Eron Anderson', 'Six Labors', 'THL A29 Limited', 'The Chromium Authors', 'The Internet Society', 'The Internet Society ()', 'The Regents of the University of California', 'Unicode', 'Victor Zverovich', 'Wojciech Mula', 'Xamarin', 'YEAR W3C(r) (MIT', 'Yann Collet', 'Yoshifumi Kawai', 'a Tencent company', 'and Milo Yip', 'by Hewlett-Packard Company', 'by the Brotli Authors', 'the V8 project authors']"
"Microsoft.IdentityModel.Tokens","Microsoft.IdentityModel.Tokens","['MIT']","['Microsoft Corporation']"
"Microsoft.NET.Test.Sdk","Microsoft.NET.Test.Sdk","['MIT']","['.NET Foundation', 'Microsoft Corporation']"
"Microsoft.VisualStudio.Web.CodeGeneration.Design","Microsoft.VisualStudio.Web.CodeGeneration.Design","['Apache-2.0 AND LGPL-2.1-or-later AND MIT']","['.NET Foundation', '.NET Foundation Contributors', '.NET Foundation and Contributors', 'Alex MacCaw (info@eribium.org)', 'Alexander Chermyanin', 'Alfred Klomp', 'Andrew Arnott', 'AngleSharp', 'Beihang). Disclaimers', 'Ca. & Digital Equipment Corporation', 'Daan Leijen', 'Daniel Lemire', 'David Fowler', 'ERCIM', 'GitHub', 'Google Inc.', 'Google LLC. http://angular.io/license', 'HTML5 Boilerplate', 'Inc (http://www.novell.com)', 'Inc (http://www.xamarin.com)', 'Inc.', 'Inc. (http://www.novell.com)', 'Intel Corporation', 'James Newton-King', 'James Newton-King Json.NET', 'Jean-loup Gailly and Mark Adler', 'John Birrell (jb@freebsd.org)', 'John D. Polstra', 'Jorn Zaefferer', 'Julian Seward', 'Keio', 'Mass', 'Matthieu Darbois', 'Maynard', 'Michael Daines', 'Microsoft', 'Microsoft Corp. (http://www.microsoft.com)', 'Microsoft Corporation', 'Microsoft Graph', 'Milosz Krajewski', 'Nick Galbreath', 'Nicolas Gallagher (nicolas@nicolasgallagher.com)', 'Nicolas Gallagher and Jonathan Neal', 'Novell', 'Open Software Foundation', 'OpenJS Foundation and other contributors', 'Palo Alto', 'Portions International Organization', 'Red Hat', 'Richard Morris', 'Ryan Juckett http://www.ryanjuckett.com', 'Sean Eron Anderson', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'THL A29 Limited', 'The Bootstrap Authors', 'The Chromium Authors', 'The Internet Society', 'The Internet Society ()', 'The Regents of the University of California', 'The gRPC', 'Twitter', 'Unicode', 'West Wind Technologies', 'Wojciech Mula', 'Xamarin', 'Xamarin Inc. (http://www.xamarin.com)', 'YEAR W3C(r) (MIT', 'Yann Collet', 'Yoshifumi Kawai', 'a Tencent company', 'and Milo Yip', 'by Hewlett-Packard Company', 'by the Brotli Authors', 'https://openjsf.org', 'the V8 project']"
"Newtonsoft.Json","Newtonsoft.Json","['MIT']","['James Newton-King', 'James Newton-King Json.NET']"
"Npgsql.EntityFrameworkCore.PostgreSQL","Npgsql.EntityFrameworkCore.PostgreSQL","['PostgreSQL']","['Portions', 'The Npgsql Development Team', 'The PostgreSQL Global Development Group', 'The Regents of the University of California']"
"OpenIddict.AspNetCore","OpenIddict.AspNetCore","['Apache-2.0']","['Kevin Chalet']"
"OpenIddict.EntityFrameworkCore","OpenIddict.EntityFrameworkCore","['Apache-2.0']","['Kevin Chalet']"
"OpenIddict.Server.AspNetCore","OpenIddict.Server.AspNetCore","['Apache-2.0']","['Kevin Chalet']"
"OpenIddict.Validation.AspNetCore","OpenIddict.Validation.AspNetCore","['Apache-2.0']","['Kevin Chalet']"
"Polly.Core","Polly.Core","['BSD-3-Clause']","['App', 'App vNext Polly Simmy']"
"Saunter","Saunter","['Apache-2.0 AND MIT']","[]"
"Serilog","Serilog","['Apache-2.0']","['Serilog Contributors']"
"Serilog.AspNetCore","Serilog.AspNetCore","['Apache-2.0']","[]"
"Serilog.Formatting.Compact","Serilog.Formatting.Compact","['Apache-2.0']","[]"
"Serilog.Sinks.Console","Serilog.Sinks.Console","['Apache-2.0']","['Serilog Contributors']"
"Swashbuckle.AspNetCore","Swashbuckle.AspNetCore","['MIT']","[]"
"System.IdentityModel.Tokens.Jwt","System.IdentityModel.Tokens.Jwt","['MIT']","['Microsoft Corporation']"
"System.Linq.Async","System.Linq.Async","['MIT']","['.NET Foundation and Contributors', '.NET Foundation and Contributors.', 'Inc.', 'VeriSign']"
"WireMock.Net","WireMock.Net","['Apache-2.0']","[]"
"accepts","accepts","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"acorn","acorn","['MIT']","['by various contributors']"
"acorn-import-attributes","acorn-import-attributes","['MIT']","['Sven Sauleau']"
"acorn-jsx","acorn-jsx","['MIT']","['by Ingvar Stepanyan']"
"acorn-walk","acorn-walk","['MIT']","['by various contributors']"
"ajv","ajv","['MIT']","['Evgeny Poberezkin']"
"ansi-escapes","ansi-escapes","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"ansi-regex","ansi-regex","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"ansi-styles","ansi-styles","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"anymatch","anymatch","['ISC']","['Elan Shanker', 'Paul Miller (https://paulmillr.com)']"
"arg","arg","['MIT']","['Inc.', 'Zeit', 'by ZEIT']"
"argparse","argparse","['MIT']","['Vitaly Puzrin (https://github.com/puzrin)', 'by Vitaly Puzrin']"
"astral-regex","astral-regex","['MIT']","['Kevin Martensson (https://github.com/kevva)', 'Kevin Martensson <kevinmartensson@gmail.com>']"
"async","async","['MIT']","['Caolan McMahon']"
"aws-cdk","aws-cdk","['Apache-2.0']","['Alexandru Marasteanu <hello@alexei.ro>', 'Amazon.com', 'Amit Kumar Gupta', 'Ben Newman <bn@cs.stanford.edu>', 'Ben Noordhuis', 'Benjamin Thomas', 'Brian J. Brennan', 'Caolan McMahon', 'Chris Talkington', 'Contributors', 'Contributors (ben@npmjs.com)', 'DC', 'Dmitry Ivanov', 'DocumentCloud and Investigative Reporters & Editors <http://underscorejs.org/>', 'Eemeli Aro <eemeli@gmail.com>', 'Elan Shanker', 'Evgeny Poberezkin', 'Feross Aboukhadijeh', 'Gajus Kuizinas (http://gajus.com/)', 'Heather Arthur <fayearthur@gmail.com>', 'Inc. and other Node contributors', 'Inc. or its affiliates', 'Isaac Z. Schlueter', 'Isaac Z. Schlueter and Contributors', 'J. Pommerening', 'JP Richardson', 'JP Richardson <jprichardson@gmail.com>', 'JS Foundation and other contributors', 'Jake Teton-Landis', 'James Halliday (mail@substack.net)', 'Jeremy Ashkenas', 'Jon Schlinkert', 'Josh Glazebrook', 'Josh Junon', 'Joyent', 'Julian Gruber <julian@juliangruber.com>', 'Kevin Decker <kpdecker@gmail.com>', 'Kevin Martensson <kevinmartensson@gmail.com>', 'Made With MOXY Lda', 'Mathias Buus', 'Mathias Bynens <https://mathiasbynens.be/>', 'Matteo Collina <hello@matteocollina.com>', 'Microsoft Corporation', 'Mozilla Foundation and contributors', 'Nathan Rajlich <nathan@tootallnate.net>', 'Natural Intelligence', 'Node.js contributors', 'OpenJS Foundation and other contributors <https://openjsf.org/>', 'Patrick Juchli', 'Paul Miller (https://paulmillr.com)', 'Rob Wu <rob@robwu.nl>', 'Robert Kieffer', 'Roman Shtylman <shtylman@gmail.com>', 'Ryan Zimmerman <opensrc@ryanzim.com>', 'SheetJS - http://sheetjs.com', 'SheetJS LLC', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)', 'TJ Holowaychuk <tj@vision-media.ca>', 'Thorsten Lorenz', 'Tom', 'Tom Wu', 'Toru Nagashima', 'Troy Goode <troygoode@gmail.com>', 'Yann Armelin', 'Yusuke Suzuki', 'and Contributors', 'by Beau Gunderson', 'contributors', 'https://js.foundation', 'jQuery Foundation and other contributors <https://jquery.org/>']"
"aws-cdk-lib","aws-cdk-lib","['Apache-2.0']","[]"
"babel-jest","babel-jest","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"babel-plugin-istanbul","babel-plugin-istanbul","['BSD-3-Clause']","['Istanbul Code Coverage']"
"babel-plugin-jest-hoist","babel-plugin-jest-hoist","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"babel-plugin-macros","babel-plugin-macros","['MIT']","['Kent C. Dodds']"
"babel-preset-current-node-syntax","babel-preset-current-node-syntax","['MIT']","['Nicolo Ribaudo and other contributors']"
"babel-preset-jest","babel-preset-jest","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"balanced-match","balanced-match","['MIT']","['Julian Gruber <julian@juliangruber.com>']"
"body-parser","body-parser","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"brace-expansion","brace-expansion","['MIT']","['Julian Gruber <julian@juliangruber.com>']"
"braces","braces","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"browserslist","browserslist","['MIT']","['Andrey Sitnik <andrey@sitnik.ru> and other contributors']"
"bs-logger","bs-logger","['MIT']","['Huafu Gandon']"
"bser","bser","['Apache-2.0']","['Facebook', 'Inc.']"
"buffer-from","buffer-from","['MIT']","['Linus Unneback']"
"bytes","bytes","['MIT']","['Jed Watson', 'Jed Watson <jed.watson@me.com>', 'TJ Holowaychuk', 'TJ Holowaychuk <tj@vision-media.ca>']"
"call-bind-apply-helpers","call-bind-apply-helpers","['MIT']","['Jordan Harband']"
"call-bound","call-bound","['MIT']","['Jordan Harband']"
"callsites","callsites","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"camelcase","camelcase","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"caniuse-lite","caniuse-lite","['CC-BY-4.0']","[]"
"case","case","['MIT OR (GPL-3.0-or-later AND MIT)']","['Nathan Bubna']"
"cdk-nag","https://github.com/cdklabs/cdk-nag","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"chalk","chalk","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"char-regex","char-regex","['MIT']","['Richie Bendall']"
"chownr","chownr","['BlueOak-1.0.0']","[]"
"ci-info","ci-info","['MIT']","['Thomas Watson Steen']"
"cjs-module-lexer","cjs-module-lexer","['MIT']","['Guy Bedford', 'by various contributors']"
"cliui","cliui","['ISC']","['Contributors', 'Inc. and Contributors', 'npm']"
"clsx","clsx","['MIT']","['Luke Edwards (https://lukeed.com)', 'Luke Edwards <luke.edwards05@gmail.com> (lukeed.com)']"
"co","co","['MIT']","['TJ Holowaychuk <tj@vision-media.ca>']"
"collect-v8-coverage","collect-v8-coverage","['MIT']","['Simen Bekkhus']"
"color-convert","color-convert","['MIT']","['Heather Arthur <fayearthur@gmail.com>', 'Heather Arthur and Josh Junon']"
"color-name","color-name","['MIT']","['Dmitry Ivanov']"
"com.diffplug.spotless:spotless-maven-plugin","com.diffplug.spotless:spotless-maven-plugin","['Apache-2.0']","[]"
"com.github.DataDog/stickerlandia","git+https://github.com/DataDog/stickerlandia","['Apache-2.0']","['Datadog, Inc.']"
"com.tngtech.archunit:archunit-junit5","com.tngtech.archunit:archunit-junit5","['Apache-2.0']","['TNG Technology Consulting GmbH']"
"concat-map","concat-map","['MIT']","[]"
"constructs","constructs","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"content-disposition","content-disposition","['MIT']","['Douglas Christopher Wilson']"
"content-type","content-type","['MIT']","['Douglas Christopher Wilson']"
"convert-source-map","convert-source-map","['MIT']","['Thorsten Lorenz']"
"cookie","cookie","['MIT']","['Douglas Christopher Wilson <doug@somethingdoug.com>', 'Roman Shtylman <shtylman@gmail.com>']"
"cookie-signature","cookie-signature","['MIT']","['LearnBoost <tj@learnboost.com>']"
"cosmiconfig","cosmiconfig","['MIT']","['David Clark']"
"coverlet.collector","coverlet.collector","['MIT']","['James Newton-King', 'James Newton-King Json.NET', 'Jb Evain']"
"create-jest","create-jest","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"create-require","create-require","['MIT']","['Mael Nison <nison.mael@gmail.com>']"
"cross-spawn","cross-spawn","['MIT']","['Made With MOXY Lda']"
"crypto-randomuuid","crypto-randomuuid","['MIT']","[]"
"csstype","csstype","['MIT']","['Fredrik Nicol']"
"dario.cat/mergo","dario.cat/mergo","['BSD-3-Clause']","['Dario Castane', 'The Go Authors']"
"datadog-cdk-constructs-v2","https://github.com/DataDog/datadog-cdk-constructs","['Apache-2.0']","['Datadog', 'Inc.']"
"dc-polyfill","dc-polyfill","['Apache-2.0 AND MIT']","['Datadog', 'Inc.', 'James Halliday']"
"dd-trace","https://github.com/DataDog/dd-trace-js","['Apache-2.0']","['Datadog', 'Inc.']"
"debug","debug","['MIT']","['Josh Junon', 'TJ Holowaychuk <tj@vision-media.ca>']"
"dedent","dedent","['MIT']","[]"
"deep-is","deep-is","['MIT']","['James Halliday <mail@substack.net>', 'Thomas Robinson <280north.com>', 'Thorsten Lorenz <thlorenz@gmx.de>']"
"deepmerge","deepmerge","['MIT']","['James Halliday', 'Josh Duff', 'and other contributors']"
"delay","delay","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"depd","depd","['MIT']","['Douglas Christopher Wilson']"
"detect-libc","detect-libc","['Apache-2.0']","['Lovell Fuller and others.']"
"detect-newline","detect-newline","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"diff","diff","['BSD-3-Clause']","['Kevin Decker <kpdecker@gmail.com>']"
"diff-sequences","diff-sequences","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"dom-helpers","dom-helpers","['MIT']","['Facebook', 'Inc.', 'Jason Quense']"
"dunder-proto","dunder-proto","['MIT']","['ECMAScript Shims']"
"ee-first","ee-first","['MIT']","['Jonathan Ong', 'Jonathan Ong me@jongleberry.com']"
"ejs","ejs","['Apache-2.0']","['Inc. and other Node contributors', 'Joyent']"
"electron-to-chromium","electron-to-chromium","['ISC']","['Kilian Valkhof']"
"emittery","emittery","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"emoji-regex","emoji-regex","['MIT']","['Mathias Bynens <https://mathiasbynens.be/>']"
"encodeurl","encodeurl","['MIT']","['Douglas Christopher Wilson']"
"enhanced-resolve","enhanced-resolve","['MIT']","['JS Foundation and other contributors']"
"error-ex","error-ex","['MIT']","['JD Ballard']"
"es-define-property","es-define-property","['MIT']","['Jordan Harband']"
"es-errors","es-errors","['MIT']","['Jordan Harband']"
"es-object-atoms","es-object-atoms","['MIT']","['Jordan Harband']"
"esbuild","esbuild","['MIT']","['Evan Wallace']"
"escalade","escalade","['MIT']","['Luke Edwards (https://lukeed.com)', 'Luke Edwards <luke.edwards05@gmail.com> (lukeed.com)']"
"escape-html","escape-html","['MIT']","['Andreas Lubbe', 'TJ Holowaychuk', 'Tiancheng Timothy Gu']"
"escape-string-regexp","escape-string-regexp","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"eslint","eslint","['MIT']","['<www.openjsf.org>', 'Joel Feenstra', 'Microsoft Corporation', 'OpenJS Foundation and other contributors']"
"eslint-plugin-react-hooks","eslint-plugin-react-hooks","['MIT']","['Inc. and affiliates', 'Meta Platforms', 'Microsoft Corporation']"
"eslint-plugin-react-refresh","eslint-plugin-react-refresh","['MIT']","['Arnaud Barre (https://github.com/ArnaudBarre)']"
"eslint-scope","eslint-scope","['BSD-2-Clause']","['Alex Seville <hi@alexanderseville.com>', 'JS Foundation and other contributors', 'Thiago de Arruda <tpadilha84@gmail.com>', 'Yusuke Suzuki', 'Yusuke Suzuki <utatane.tea@gmail.com>', 'https://js.foundation']"
"eslint-visitor-keys","eslint-visitor-keys","['Apache-2.0']","[]"
"espree","espree","['BSD-2-Clause']","['Acorn', 'Inc. and Contributors', 'Open JS Foundation', 'Sebastian McKenzie <sebmck@gmail.com>', 'jQuery Foundation', 'various']"
"esprima","esprima","['BSD-2-Clause AND BSD-3-Clause']","['JS Foundation and other contributors', 'https://js.foundation']"
"esquery","esquery","['BSD-3-Clause']","['Ariya Hidayat <ariya.hidayat@gmail.com>', 'Joel Feenstra', 'Yusuke Suzuki <utatane.tea@gmail.com>']"
"esrecurse","esrecurse","['BSD-2-Clause']","['Yusuke Suzuki (https://github.com/Constellation) (twitter Constellation (https://twitter.com/Constellation)) and other contributors', 'Yusuke Suzuki <utatane.tea@gmail.com>']"
